TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-99201-2024","2024-11-25 01:22:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1588828","78.11","78.11","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAYDON HOUSE BY ELLINGTON "
"102-99203-2024","2024-11-25 01:09:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1476828","73.23","73.23","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAYDON HOUSE BY ELLINGTON "
"102-99209-2024","2024-11-25 06:08:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","10656357.01","201.74","201.74","2 B/R","1","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","The Residences, Al Habtoor Grand"
"102-99210-2024","2024-11-25 07:07:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2610000","101.25","101.25","2 B/R","1","Marina Towers","Marina Mall","Burj Al Arab","1","1","","Aeternitas Tower"
"102-99211-2024","2024-11-25 07:21:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","786778.11","103.65","103.65","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE FIFTH TOWER "
"102-99218-2024","2024-11-25 09:18:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1400000","63.69","63.69","1 B/R","1","Noor Bank Metro Station","Mall of the Emirates","IMG World Adventures","2","1","","Golf Grand"
"102-99220-2024","2024-11-25 09:59:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3700000","176.2","176.2","3 B/R","2","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Island Park II "
"102-99221-2024","2024-11-25 09:49:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1683731","73.61","73.61","1 B/R","1","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","Marina Living"
"102-99226-2024","2024-11-25 13:36:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","3350000","120.16","120.16","2 B/R","1","","","","1","1","","Lamaa"
"102-99229-2024","2024-11-25 10:40:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","900777","71.93","71.93","1 B/R","1","Damac Properties","Marina Mall","Burj Al Arab","2","1","","SEVEN CITY JLT"
"102-99232-2024","2024-11-25 10:02:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","702888","40.8","40.8","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","The central downtown "
"102-99236-2024","2024-11-25 10:06:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","10972040.96","201.74","201.74","2 B/R","1","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","The Residences, Al Habtoor Grand"
"102-99241-2024","2024-11-25 10:56:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","880000","72.93","72.93","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","3","1","","Elysee III by Pantheon"
"102-99242-2024","2024-11-25 10:28:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Merkadh","Unit","Flat","1300000","56.83","56.83","1 B/R","1","","","","1","1","","Sobha Creek Vistas Heights"
"102-99244-2024","2024-11-25 12:46:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TECOM SITE A","Unit","Flat","3800000","156.47","156.47","3 B/R","2","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","CAVALLI CASA TOWER"
"102-99246-2024","2024-11-25 11:40:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","5900000","155.32","155.32","3 B/R","1","","","","1","1","","Beach Mansion"
"102-99248-2024","2024-11-25 11:18:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2400000","172.63","172.63","3 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-99249-2024","2024-11-25 11:08:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1245000","62.18","62.18","1 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","","Lime Gardens "
"102-99257-2024","2024-11-25 13:36:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Kifaf","Unit","Flat","3486891","151.52","151.52","3 B/R","2","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","1","1","","Park Views Residences B"
"102-99259-2024","2024-11-25 13:50:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Kifaf","Unit","Flat","2300000","112.37","112.37","2 B/R","1","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","1","1","","Park Views Residences B"
"102-99260-2024","2024-11-25 13:25:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1050000","72.04","72.04","1 B/R","1","Damac Properties","Marina Mall","Burj Al Arab","1","1","","SEVEN CITY JLT"
"102-99266-2024","2024-11-25 12:49:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","1600000","121.7","121.7","2 B/R","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","","Nadine Residences "
"102-99269-2024","2024-11-25 13:42:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","8300000","203.72","203.72","2 B/R","1","Mina Seyahi","Marina Mall","Burj Al Arab","2","1","","SERENIA LIVING"
"102-99273-2024","2024-11-25 12:31:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","4800000","301.81","301.81","4 B/R","","","","","1","1","","Arabian Ranches lll - June"
"102-99276-2024","2024-11-25 13:28:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARABIAN RANCHES III","Building","Villa","2850000","138.64","138.64","3 B/R","","","","","1","1","","Arabain Ranches lll - Bliss"
"102-99277-2024","2024-11-25 14:36:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARABIAN RANCHES III","Building","Villa","1959888","120.29","120.29","3 B/R","","","","","1","1","","Arabain Ranches lll - Bliss"
"102-99278-2024","2024-11-25 14:44:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2425000","144.85","144.85","3 B/R","","","","","1","1","","Arabian Ranches lll - Anya"
"102-99280-2024","2024-11-25 14:14:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","425000","35.06","35.06","Studio","1","","","IMG World Adventures","2","1","","AG 7EVEN"
"102-99284-2024","2024-11-25 14:26:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","620000","36.01","36.01","Studio","1","Damac Properties","Marina Mall","Burj Al Arab","1","1","","SEVEN CITY JLT"
"102-99287-2024","2024-11-25 14:59:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2850000","255.52","255.52","4 B/R","","","","","1","1","","The Valley - Talia"
"102-99288-2024","2024-11-25 14:54:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","550000","40.7","40.7","Studio","1  0","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Vincitore Dolce Vita"
"11-42469-2024","2024-11-25 04:12:43","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1150000","112.24","112.24","","","","","","1","1","","DAMAC HILLS (2) - AVENCIA-2 "
"11-42644-2024","2024-11-25 12:12:14","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","1432000","103.57","103.57","3 B/R","G-03","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 19"
"11-42646-2024","2024-11-25 12:32:50","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","1138000","79.2","79.2","1 B/R","G-15","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 20"
"11-43570-2024","2024-11-25 13:10:21","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1370000","110.65","110.65","Office","P2-23, 24","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","SOBHA IVORY"
"11-43915-2024","2024-11-25 12:39:14","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","887000","55.53","55.53","1 B/R","G-40","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi  Riviera 34  "
"11-44153-2024","2024-11-25 10:12:18","Sales","Sale","Ready","Non Free Hold","Commercial","Al Goze Industrial Third","Land","Industrial","20000000","3751.33","3751.33","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","4","",""
"11-44480-2024","2024-11-25 11:43:00","Sales","Sale","Ready","Non Free Hold","Commercial","Hor Al Anz","Land","Commercial","6500000","346.06","346.06","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","1","14","",""
"11-44653-2024","2024-11-25 14:40:48","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES II","Land","Residential","3654888","432.01","432.01","","","","","Motor City","1","1","","Arabian Ranches-Casa Community"
"11-44834-2024","2024-11-25 13:39:15","Sales","Sale","Ready","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1048545","75.69","75.69","1 B/R","33","","","IMG World Adventures","1","1","",""
"11-45054-2024","2024-11-25 13:49:38","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","3500000","172.36","172.36","4 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","7","",""
"11-45080-2024","2024-11-25 10:51:40","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","600000","18.57","37.13","Studio","B1-86","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 15"
"11-45089-2024","2024-11-25 12:30:18","Sales","Sale","Ready","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","940000","61.26","61.26","1 B/R","G-39","Sharaf Dg Metro Station","","Motor City","2","1","","LAYA HEIGHTS"
"11-45090-2024","2024-11-25 12:16:05","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","2673000","130.25","130.25","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ORCHID PARK"
"11-45092-2024","2024-11-25 12:05:54","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","2950000","123.6","123.6","2 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","IRIS PARK"
"11-45136-2024","2024-11-25 07:37:14","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Land","Residential","3300000","253","253","","","","","Motor City","2","1","","DAMAC HILLS- PELHAM "
"11-45142-2024","2024-11-25 13:31:03","Sales","Sale","Ready","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","4000000","170.18","170.18","1 B/R","B2-192, B2-193","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","",""
"11-45163-2024","2024-11-25 10:06:59","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","790000","59.35","59.35","1 B/R","(1)","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","CONCORDE TOWER"
"11-45208-2024","2024-11-25 14:56:47","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","490000","61.79","61.79","1 B/R","G-84","","","Motor City","2","1","","REMRAAM"
"11-45209-2024","2024-11-25 14:51:56","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","320000","35.95","35.95","Studio","G-65","","","Motor City","2","1","","REMRAAM"
"11-45211-2024","2024-11-25 14:31:12","Sales","Sale","Ready","Free Hold","Commercial","DUBAI SPORTS CITY","Land","Industrial","3067000","269.52","269.52","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","1","","GALLERY VILLAS"
"11-45245-2024","2024-11-25 12:44:38","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1600000","105.85","105.85","1 B/R","B2-840","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","BAY SQUARE"
"11-45284-2024","2024-11-25 13:30:46","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","445000","40.53","40.53","Studio","BG-4","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","LINCOLN PARK"
"11-45296-2024","2024-11-25 14:37:15","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Land","Residential","1495394.8","180","180","","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","",""
"11-45302-2024","2024-11-25 14:02:02","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","750000","73.36","73.36","1 B/R","B-83","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","ASTORIA RESIDNECE"
"11-45304-2024","2024-11-25 13:40:44","Sales","Sale","Ready","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","989948","71.46","71.46","1 B/R","78","","","IMG World Adventures","1","1","",""
"11-45313-2024","2024-11-25 09:43:12","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","1609438","224.17","224.17","3 B/R","A96-A145","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","",""
"11-45316-2024","2024-11-25 07:17:36","Sales","Sale","Ready","Free Hold","Commercial","POLO TOWNHOUSES IGO","Land","Commercial","4440000","235.22","235.22","","","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","2","","THE POLO TOWN HOUSES"
"11-45330-2024","2024-11-25 08:17:09","Sales","Sale","Ready","Non Free Hold","Residential","Al Bada","Land","Residential","2300000","340.02","340.02","","","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","1","16","",""
"11-45342-2024","2024-11-25 08:00:56","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1100000","100.2","100.2","2 B/R","B4-161","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","GLOBAL LAKE VIEW"
"11-45348-2024","2024-11-25 12:57:13","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH BEACH RESIDENCE","Unit","Flat","2455000","174.87","174.87","3 B/R","B356-357","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","",""
"11-45351-2024","2024-11-25 08:52:58","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1250000","43.22","43.22","Studio","B3-167","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","3","","29 BOULEVARD"
"11-45353-2024","2024-11-25 07:35:31","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2225000","186.57","186.57","2 B/R","DMCC-2140","Marina Mall Metro Station","Marina Mall","Burj Al Arab","2","1","","MADINA TOWER"
"11-45357-2024","2024-11-25 09:24:21","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","615000","66.73","66.73","Studio","P4-12","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ELITE 9 SPORTS RESIDENCE"
"11-45358-2024","2024-11-25 11:31:05","Sales","Sale","Ready","Free Hold","Residential","DUBAI SOUTH","Unit","Flat","1400000","147.85","147.85","3 B/R","B-115,B-116","","","Expo 2020 Site","1","1","","The Pulse Boulevard Apartments-C1"
"11-45361-2024","2024-11-25 08:32:52","Sales","Sale","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2150000","115.04","115.04","2 B/R","G-67","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","2","","WILTON TERRACES"
"11-45362-2024","2024-11-25 07:22:05","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","4350000","170.76","170.76","3 B/R","512 / 513","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","2","",""
"11-45363-2024","2024-11-25 06:46:09","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2375000","160.99","160.99","2 B/R","DMCC-2057","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","ALSHERA TOWER"
"11-45365-2024","2024-11-25 09:19:47","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH PARK","Land","Commercial","7100000","556.2","556.2","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","","JUMEIRAH PARK 7B&C"
"11-45366-2024","2024-11-25 09:50:43","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1484000","81.53","81.53","Office","B1-30, B1-31","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","BURLINGTON TOWER"
"11-45367-2024","2024-11-25 09:53:20","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1133333","50.57","50.57","Office","B1-22","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","BURLINGTON TOWER"
"11-45368-2024","2024-11-25 09:56:02","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","826000","50.57","50.57","Office","B1-23","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","BURLINGTON TOWER"
"11-45369-2024","2024-11-25 10:04:19","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","2333333","83.7","83.7","Office","B1-28, B1-29","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","BURLINGTON TOWER"
"11-45370-2024","2024-11-25 10:07:00","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","3760000","156.09","156.09","Office","B1-24,B1-25,B1-26,B1-27","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","BURLINGTON TOWER"
"11-45372-2024","2024-11-25 10:12:07","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Building","Villa","4500000","336.34","336.34","3 B/R","","","","Global Village","1","1","",""
"11-45373-2024","2024-11-25 07:47:22","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Building","Villa","4415000","334.84","334.84","3 B/R","","","","Global Village","1","1","",""
"11-45374-2024","2024-11-25 07:50:27","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1500000","104.48","104.48","2 B/R","P3-169","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","GHALIA"
"11-45375-2024","2024-11-25 08:23:23","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","728129","40.68","40.68","Studio","B1-41","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 16"
"11-45376-2024","2024-11-25 09:39:06","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1750000","174.8","174.8","","","","","","1","1","","DAMAC HILLS (2) - ASTER "
"11-45377-2024","2024-11-25 09:34:53","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3300000","359.44","359.44","3 B/R","","","","Dubai Cycling Course","2","1","","REEM - MIRA OASIS COMMUNITY PHASE 3"
"11-45379-2024","2024-11-24 21:43:14","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","478000","40.21","40.21","Studio","B-19","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","ROXANA RESIDENCE "
"11-45380-2024","2024-11-24 23:01:26","Sales","Sale","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Land","49578750","5272.4","5272.4","","","","","","2","1","","Discovery Dunes "
"11-45381-2024","2024-11-25 05:42:28","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2668863.54","69.54","69.54","1 B/R","P2-004","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-45382-2024","2024-11-25 06:10:28","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","800000","77.28","77.28","1 B/R","B-126","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","ROXANA RESIDENCE "
